user,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
adamwarlock2099,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3
alexadorable,0,0,26,37,1,7,0,3,30,18,20,110,46,20,0,0,1,0,0,0,0,0,0,0,319
Armando,7,18,25,17,0,0,0,0,0,0,40,64,24,15,70,78,17,0,19,22,14,0,0,11,441
Ashtar_Sheron_GLF,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,13
Barinade88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bokchoiii,0,1,0,1,9,2,0,0,25,0,11,182,16,14,15,18,0,0,17,29,0,0,0,0,340
breezyexcursion,0,0,0,0,0,0,0,0,4,8,5,0,20,1,0,7,0,20,0,10,4,10,0,0,89
ChrasSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3
Chucky,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,6,27,7,46
cmc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dadmachine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daffadilio,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
damien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DEKMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DragonPick,0,0,0,8,0,0,1,7,105,40,0,47,0,10,15,18,17,16,3,0,0,0,0,0,287
Drewnami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Error1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Flam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
FriggleFraggles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,7,0,0,0,4,0,0,0,0,68
GG_Zeni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gna647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heyzeus,20,9,0,0,0,0,1,1,7,0,0,0,6,4,0,40,25,26,0,0,1,7,17,0,164
Hiten,4,0,0,0,0,0,1,2,0,3,4,8,17,6,125,92,60,44,3,10,0,13,81,16,489
Hosea,0,0,0,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,9,0,0,0,20
jaimielovely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jeremy,0,11,2,11,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28
John,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,26,12,0,0,43
Komb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Little,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,40,5,0,0,0,0,0,0,0,76
MegaTech,0,0,0,0,0,0,0,9,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
Moosick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,2,0,0,0,0,0,1,0,80
MrMallard,0,0,0,0,13,13,0,6,111,42,0,0,33,0,0,0,0,0,0,0,0,0,0,0,218
Musicaä,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My_Own_Persona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Mysic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myusic,2,0,2,0,0,0,0,0,0,0,1,0,0,1,57,4,0,0,0,0,0,0,0,0,67
Nam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neoconkers,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,2,0,0,0,18
NigerianKnightmare,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
oxtis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,43
renavlt,0,0,0,0,0,0,0,0,0,0,6,22,2,3,60,70,11,12,0,0,3,0,8,0,197
SaltyPirate,0,0,0,1,0,0,2,15,7,0,5,18,0,0,32,15,4,0,0,0,0,0,0,0,99
Shinroken,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sicachu,45,19,0,0,0,0,0,0,0,0,0,0,31,12,50,95,82,68,39,10,8,8,48,22,537
Skullface,0,0,0,0,0,0,0,0,0,0,0,40,4,26,0,0,2,0,0,0,7,0,0,2,81
soup,8,7,5,5,0,0,0,0,0,0,4,0,20,0,62,56,7,17,0,1,0,0,7,0,199
Steelix500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tatsumaki,0,0,0,0,0,0,0,2,1,5,2,5,1,3,1,20,3,7,1,0,0,1,7,2,61
teef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,5,2,0,0,23
teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
themmons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheSwaggersaurus,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
TK,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,7,0,0,0,0,0,1,0,19,79
Tsahal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25,28,0,0,0,0,66
vegy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,2,0,0,0,27
Vibe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VuhVoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vulgorn,0,0,1,0,0,0,0,6,138,54,0,0,0,0,0,0,0,0,0,3,0,0,1,1,204
wlof,0,0,0,0,0,0,3,0,0,16,8,6,7,0,0,0,0,32,25,4,5,0,0,0,106
znnsk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zodd3224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,1,14,40
CECHAT,96,75,61,80,23,22,8,56,470,204,111,554,232,125,568,667,239,258,146,168,87,60,216,129,4655
