Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:CECHAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,88,35,128,234,707
dailystats/stats2017-10-30.csv:CECHAT,516,62,60,9,3,75,14,17,16,13,51,305,292,309,328,366,722,260,186,200,43,169,87,265,4368
dailystats/stats2017-10-31.csv:CECHAT,87,94,35,3,8,19,6,6,47,222,498,1242,406,492,214,362,406,245,371,480,142,302,300,211,6198
dailystats/stats2017-11-01.csv:CECHAT,97,52,17,44,19,0,2,4,26,135,123,316,384,682,140,211,284,176,248,259,432,203,297,323,4474
dailystats/stats2017-11-02.csv:CECHAT,530,216,9,71,38,2,0,32,66,63,128,389,594,133,50,45,255,245,76,57,130,90,0,0,3219
dailystats/stats2017-11-03.csv:CECHAT,223,24,67,12,6,11,1,10,14,58,193,519,556,928,980,877,327,174,364,233,115,361,98,42,6193
dailystats/stats2017-11-04.csv:CECHAT,477,147,84,3,20,32,119,635,642,32,100,87,119,251,288,597,879,302,309,280,242,96,172,262,6175
dailystats/stats2017-11-05.csv:CECHAT,338,495,378,171,31,83,14,455,1039,837,949,777,489,636,243,251,239,73,5,266,160,90,334,59,8412
dailystats/stats2017-11-06.csv:CECHAT,96,75,61,80,23,22,8,56,470,204,111,554,232,125,568,667,239,258,146,168,87,60,216,129,4655
dailystats/stats2017-11-07.csv:CECHAT,149,94,143,138,7,4,4,2,44,138,48,103,483,362,130,337,299,87,166,60,89,161,171,152,3371
dailystats/stats2017-11-08.csv:CECHAT,56,35,42,110,37,1,3,11,19,66,126,404,312,289,292,228,182,186,112,65,87,124,46,0,2833
dailystats/stats2017-11-09.csv:CECHAT,101,58,154,70,30,1,10,90,159,208,512,221,342,399,168,200,186,118,357,251,107,105,90,72,4009
dailystats/stats2017-11-10.csv:CECHAT,86,62,19,1,0,6,12,17,126,246,99,90,124,64,431,295,404,104,145,185,320,341,134,98,3409
dailystats/stats2017-11-13.csv:CECHAT,186,145,177,880,278,8,37,18,125,110,353,863,488,509,143,282,347,282,113,0,0,0,0,65,5409
dailystats/stats2017-11-15.csv:CECHAT,149,236,91,65,12,36,39,19,44,121,88,334,101,348,126,471,193,603,476,277,256,196,38,87,4406
dailystats/stats2017-11-16.csv:CECHAT,370,117,104,69,134,36,28,46,403,307,110,362,325,553,145,227,305,306,516,443,293,322,308,818,6647
dailystats/stats2017-11-17.csv:CECHAT,962,340,268,502,554,76,381,496,388,53,468,423,824,403,371,458,335,159,127,30,95,207,81,129,8130
dailystats/stats2017-11-18.csv:CECHAT,55,88,370,165,25,11,95,27,99,33,47,84,216,482,138,0,0,0,0,0,0,0,0,0,1935
dailystats/stats2017-11-19.csv:CECHAT,0,48,103,8,2,10,0,43,52,442,476,292,519,742,260,224,43,67,54,168,203,147,304,532,4739
dailystats/stats2017-11-20.csv:CECHAT,440,377,313,85,8,29,3,51,19,96,92,185,227,446,418,291,59,293,143,67,95,233,63,67,4100
dailystats/stats2017-11-21.csv:CECHAT,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,451
dailystats/stats2017-11-22.csv:CECHAT,435,148,193,427,110,48,176,16,38,277,424,421,676,508,536,143,182,376,169,165,255,236,272,26,6257
dailystats/stats2017-11-23.csv:CECHAT,330,216,13,7,11,107,311,394,547,327,334,513,165,137,204,117,211,157,385,131,153,261,188,291,5510
dailystats/stats2017-11-24.csv:CECHAT,251,71,32,2,1,1,11,10,52,125,165,107,372,454,518,683,99,93,50,360,41,8,176,115,3797
dailystats/stats2017-11-25.csv:CECHAT,467,331,32,70,294,4,133,45,26,13,46,20,313,248,213,273,312,217,118,198,168,87,180,36,3844
dailystats/stats2017-11-26.csv:CECHAT,182,18,20,5,1,3,4,72,64,55,138,372,263,115,38,123,255,74,240,274,182,171,359,1023,4051
dailystats/stats2017-11-27.csv:CECHAT,793,535,769,6,34,42,8,10,47,122,184,296,261,351,638,372,328,286,317,309,268,434,348,305,7063
dailystats/stats2017-11-28.csv:CECHAT,301,159,38,79,24,16,6,138,337,202,106,144,168,211,451,746,260,237,547,359,303,134,220,250,5436
dailystats/stats2017-11-29.csv:CECHAT,225,17,66,87,12,24,12,49,109,167,420,126,612,839,352,595,250,169,372,289,99,384,224,385,5884
dailystats/stats2017-11-30.csv:CECHAT,366,471,335,129,2,14,43,35,105,34,64,172,349,312,414,439,386,174,253,108,80,189,132,293,4899
dailystats/stats2017-12-01.csv:CECHAT,87,7,12,314,401,248,243,11,14,31,236,268,984,498,368,689,744,314,137,108,28,36,61,192,6031
dailystats/stats2017-12-02.csv:CECHAT,120,31,176,2,4,9,10,13,4,39,182,279,138,277,205,369,39,120,77,43,18,50,74,210,2489
dailystats/stats2017-12-03.csv:CECHAT,99,234,53,161,198,30,0,168,148,10,53,257,288,235,125,279,137,89,202,220,119,223,192,0,3520
dailystats/stats2017-12-05.csv:CECHAT,68,126,12,48,41,51,33,3,121,132,337,292,509,448,425,81,306,51,332,67,51,175,267,288,4264
dailystats/stats2017-12-06.csv:CECHAT,26,20,17,22,1,30,6,33,110,54,84,180,517,710,260,405,149,476,572,371,117,150,98,18,4426
dailystats/stats2017-12-07.csv:CECHAT,504,19,26,4,1,8,4,0,15,70,68,403,479,461,313,51,181,461,422,85,382,152,150,189,4448
dailystats/stats2017-12-08.csv:CECHAT,102,69,22,13,1,2,3,7,85,212,51,286,198,414,279,233,531,376,168,460,221,131,243,69,4176
dailystats/stats2017-12-09.csv:CECHAT,108,71,99,30,19,12,47,80,19,459,134,91,309,132,88,91,32,30,110,121,63,341,63,75,2624
dailystats/stats2017-12-10.csv:CECHAT,22,187,217,89,12,53,72,31,328,30,44,61,181,270,307,160,151,198,269,154,92,472,586,134,4120
dailystats/stats2017-12-11.csv:CECHAT,77,65,29,10,1,62,2,15,40,94,94,54,333,269,523,140,122,114,203,389,272,326,320,458,4012
dailystats/stats2017-12-12.csv:CECHAT,312,29,321,74,13,12,7,7,190,270,193,713,771,1189,999,537,371,85,92,255,249,785,408,598,8480
dailystats/stats2017-12-13.csv:CECHAT,242,240,229,71,12,1,23,24,91,438,229,390,340,342,204,208,457,321,205,320,536,440,384,242,5989
dailystats/stats2017-12-14.csv:CECHAT,292,181,15,38,0,5,35,10,146,87,332,759,465,667,457,410,319,487,593,224,302,442,82,558,6906
dailystats/stats2017-12-15.csv:CECHAT,186,219,535,337,115,0,0,18,32,421,574,507,320,210,298,354,228,99,189,514,53,272,79,68,5628
dailystats/stats2017-12-16.csv:CECHAT,103,122,24,244,251,5,0,10,16,33,67,424,263,0,0,0,0,0,0,0,0,0,0,0,1562
dailystats/stats2017-12-17.csv:CECHAT,9,87,110,27,37,37,2,7,5,15,110,577,334,72,85,66,40,102,100,48,146,233,159,463,2871
dailystats/stats2017-12-18.csv:CECHAT,42,78,188,0,4,3,0,14,5,482,158,93,81,317,431,161,34,88,499,338,101,269,258,48,3692
dailystats/stats2017-12-19.csv:CECHAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,106
dailystats/stats2017-12-20.csv:CECHAT,159,95,44,15,22,7,7,29,84,51,108,92,256,500,162,348,231,166,136,166,198,191,97,80,3244
dailystats/stats2017-12-21.csv:CECHAT,159,701,941,798,426,82,7,29,13,99,118,87,275,444,583,711,499,146,187,127,173,68,58,155,6886
dailystats/stats2017-12-22.csv:CECHAT,163,29,52,4,11,7,4,35,18,127,178,347,212,74,204,43,26,160,131,46,56,203,105,56,2291
dailystats/stats2017-12-23.csv:CECHAT,43,53,28,1,3,9,5,17,103,36,86,71,233,122,53,37,85,27,76,53,140,16,33,103,1433
dailystats/stats2017-12-24.csv:CECHAT,370,685,269,79,25,19,2,2,20,33,46,123,114,147,149,292,165,77,123,102,54,35,53,158,3142
dailystats/stats2017-12-25.csv:CECHAT,265,1336,1028,568,81,166,182,9,32,109,509,472,699,288,454,153,135,99,113,170,18,146,124,56,7212
dailystats/stats2017-12-26.csv:CECHAT,58,45,7,153,10,31,28,14,46,109,111,92,180,84,150,74,101,82,207,264,171,161,157,80,2415
dailystats/stats2017-12-27.csv:CECHAT,221,370,80,22,57,147,42,13,51,60,34,75,209,472,147,38,87,71,105,162,104,163,169,182,3081
