Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-12-27.csv:Burnt,7,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
dailystats/stats2017-12-30.csv:Burnt,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
dailystats/stats2017-12-31.csv:Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,9
dailystats/stats2018-01-01.csv:Burnt,0,17,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
dailystats/stats2018-01-06.csv:Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
dailystats/stats2018-01-09.csv:Burnt,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7
dailystats/stats2018-01-10.csv:Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,7,0,0,0,15,2,55
dailystats/stats2018-01-11.csv:Burnt,0,16,13,6,0,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,50
dailystats/stats2018-01-12.csv:Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,11
dailystats/stats2018-01-13.csv:Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
dailystats/stats2018-01-14.csv:Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20,1,0,0,0,36
dailystats/stats2018-01-15.csv:Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,3,0,0,0,0,16
dailystats/stats2018-01-16.csv:Burnt,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,16
dailystats/stats2018-01-17.csv:Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,2,3,20
dailystats/stats2018-01-18.csv:Burnt,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,2,18
dailystats/stats2018-01-19.csv:Burnt,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,0,0,0,0,0,68
dailystats/stats2018-01-20.csv:Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,5,3,26
dailystats/stats2018-01-21.csv:Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,11,20,10,62
dailystats/stats2018-01-22.csv:Burnt,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7
dailystats/stats2018-01-23.csv:Burnt,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,13
dailystats/stats2018-01-25.csv:Burnt,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12
dailystats/stats2018-01-26.csv:Burnt,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,118,233,415
dailystats/stats2018-01-27.csv:Burnt,43,9,18,2,3,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,121
dailystats/stats2018-01-28.csv:Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,0,13
dailystats/stats2018-01-29.csv:Burnt,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13
dailystats/stats2018-01-30.csv:Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,0,8,2,4,50
dailystats/stats2018-02-01.csv:Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61
dailystats/stats2018-02-02.csv:Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,23
dailystats/stats2018-02-03.csv:Burnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,0,29,5,3,60
