Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:Chucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,11,0,11,19,75
dailystats/stats2017-10-30.csv:Chucky,0,0,0,0,0,0,0,0,0,0,13,0,0,39,0,24,36,0,0,3,15,6,13,0,149
dailystats/stats2017-10-31.csv:Chucky,7,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,1,3,0,8,27
dailystats/stats2017-11-01.csv:Chucky,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,1,1,0,18
dailystats/stats2017-11-02.csv:Chucky,7,0,0,0,0,0,0,0,0,0,0,0,4,17,0,2,0,2,0,2,0,0,0,0,34
dailystats/stats2017-11-03.csv:Chucky,0,0,0,0,0,0,0,0,0,0,4,10,0,20,3,0,3,0,4,0,0,1,25,4,74
dailystats/stats2017-11-04.csv:Chucky,3,6,1,0,0,0,0,0,0,0,0,0,1,0,1,70,82,35,4,4,0,0,0,5,212
dailystats/stats2017-11-05.csv:Chucky,4,39,5,0,0,0,0,0,0,0,20,12,68,21,7,15,13,4,0,6,0,32,44,4,294
dailystats/stats2017-11-06.csv:Chucky,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,6,27,7,46
dailystats/stats2017-11-07.csv:Chucky,7,0,0,0,0,0,0,0,0,0,2,46,3,4,16,25,1,9,23,13,0,5,4,4,162
dailystats/stats2017-11-08.csv:Chucky,1,0,0,0,0,0,0,0,0,0,12,4,0,16,0,0,0,0,20,12,2,0,0,0,67
dailystats/stats2017-11-09.csv:Chucky,0,0,0,0,0,0,0,0,0,0,33,0,0,9,10,20,16,9,0,6,0,0,0,1,104
dailystats/stats2017-11-10.csv:Chucky,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,25,3,0,2,2,7,9,0,7,57
dailystats/stats2017-11-13.csv:Chucky,24,0,0,0,0,0,0,0,0,0,0,6,0,24,10,4,20,24,0,0,0,0,0,0,112
dailystats/stats2017-11-16.csv:Chucky,0,0,0,0,0,0,0,0,0,0,7,0,0,41,0,5,1,0,11,0,0,0,0,14,79
dailystats/stats2017-11-17.csv:Chucky,0,0,0,0,0,0,0,0,0,0,0,0,13,32,5,0,3,0,11,3,3,5,0,3,78
dailystats/stats2017-11-18.csv:Chucky,4,5,107,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,128
dailystats/stats2017-11-19.csv:Chucky,0,1,0,0,0,0,0,0,0,0,0,33,30,5,0,4,5,6,2,7,0,4,0,0,97
dailystats/stats2017-11-20.csv:Chucky,19,0,0,0,0,0,0,0,0,2,3,0,0,18,0,0,0,0,0,0,0,0,0,0,42
