Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-12-13.csv:Coolppl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,2,13,0,2,34
dailystats/stats2017-12-14.csv:Coolppl,0,0,0,0,0,0,0,0,3,7,10,6,14,19,0,13,17,31,28,20,16,20,7,21,232
dailystats/stats2017-12-15.csv:Coolppl,0,0,0,0,0,0,0,0,0,0,14,0,9,12,21,8,10,0,1,0,0,0,0,0,75
dailystats/stats2017-12-16.csv:Coolppl,0,0,0,0,0,0,0,3,0,0,1,8,20,0,0,0,0,0,0,0,0,0,0,0,32
dailystats/stats2017-12-17.csv:Coolppl,0,0,0,0,0,0,0,0,0,1,10,18,5,1,0,0,0,3,0,3,0,6,0,9,56
dailystats/stats2017-12-18.csv:Coolppl,0,0,0,0,0,0,0,0,0,29,15,5,8,19,7,7,2,6,5,0,0,0,0,0,103
dailystats/stats2017-12-20.csv:Coolppl,0,0,0,0,0,0,0,5,28,13,9,13,21,0,18,30,7,0,0,0,0,10,2,0,156
dailystats/stats2017-12-21.csv:Coolppl,0,0,0,0,0,0,0,2,3,15,6,5,5,24,9,28,11,3,5,0,0,0,0,0,116
dailystats/stats2017-12-22.csv:Coolppl,0,0,0,0,0,0,0,2,0,24,12,6,2,3,15,3,2,6,4,3,2,2,0,0,86
dailystats/stats2017-12-23.csv:Coolppl,0,0,0,0,0,0,0,0,0,0,14,8,20,5,0,1,1,1,10,0,0,0,0,0,60
dailystats/stats2017-12-24.csv:Coolppl,4,8,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,1,4,3,2,0,3,0,34
dailystats/stats2017-12-25.csv:Coolppl,0,0,27,0,0,0,0,0,0,0,8,38,8,1,0,1,3,1,1,1,0,24,1,6,120
dailystats/stats2017-12-26.csv:Coolppl,4,0,0,0,0,0,0,0,6,3,10,2,3,1,0,0,1,0,0,0,2,11,2,4,49
