Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:Dadmachine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3
dailystats/stats2017-10-30.csv:Dadmachine,2,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,2,12,6,28
dailystats/stats2017-10-31.csv:Dadmachine,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,7
dailystats/stats2017-11-01.csv:Dadmachine,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,7
dailystats/stats2017-11-02.csv:Dadmachine,11,7,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,23
dailystats/stats2017-11-03.csv:Dadmachine,7,0,0,0,0,0,0,0,0,0,0,1,4,4,3,3,8,6,0,2,0,0,0,0,38
dailystats/stats2017-11-04.csv:Dadmachine,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
dailystats/stats2017-11-05.csv:Dadmachine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-06.csv:Dadmachine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-07.csv:Dadmachine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-08.csv:Dadmachine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-09.csv:Dadmachine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-10.csv:Dadmachine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-12-11.csv:Dadmachine,0,0,0,0,0,0,0,0,0,0,0,0,1,27,6,0,0,1,0,0,0,0,2,0,37
dailystats/stats2017-12-12.csv:Dadmachine,12,5,25,0,0,0,0,0,0,0,11,34,35,6,4,0,0,0,4,0,0,0,0,2,138
dailystats/stats2017-12-13.csv:Dadmachine,3,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,7,17
