Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-11-03.csv:Drewnami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-04.csv:Drewnami,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
dailystats/stats2017-11-05.csv:Drewnami,1,16,0,0,2,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,32
dailystats/stats2017-11-06.csv:Drewnami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-07.csv:Drewnami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-08.csv:Drewnami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-09.csv:Drewnami,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
dailystats/stats2017-11-10.csv:Drewnami,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
dailystats/stats2017-11-17.csv:Drewnami,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
dailystats/stats2017-11-18.csv:Drewnami,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
dailystats/stats2017-11-19.csv:Drewnami,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dailystats/stats2017-11-28.csv:Drewnami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3
