Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:Hosea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,30
dailystats/stats2017-10-30.csv:Hosea,0,0,0,0,0,0,0,0,0,1,1,0,5,2,19,3,16,0,0,0,0,13,0,0,60
dailystats/stats2017-10-31.csv:Hosea,6,0,0,0,0,0,0,1,1,5,16,9,14,11,2,1,2,0,0,0,0,0,0,0,68
dailystats/stats2017-11-01.csv:Hosea,0,0,0,0,0,0,0,0,7,1,0,0,13,2,1,0,0,2,21,4,16,2,0,0,69
dailystats/stats2017-11-02.csv:Hosea,2,9,0,0,0,0,0,5,2,0,11,59,1,10,0,0,0,25,0,0,1,0,0,0,125
dailystats/stats2017-11-03.csv:Hosea,0,0,0,0,0,0,0,4,1,14,16,30,15,29,10,17,12,0,0,1,0,2,0,0,151
dailystats/stats2017-11-04.csv:Hosea,0,3,0,0,0,0,0,0,0,4,0,1,1,9,3,24,6,7,1,0,13,11,0,0,83
dailystats/stats2017-11-05.csv:Hosea,0,6,6,0,0,0,0,0,30,24,16,25,14,3,8,0,0,1,2,1,0,0,0,0,136
dailystats/stats2017-11-06.csv:Hosea,0,0,0,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,9,0,0,0,20
dailystats/stats2017-11-07.csv:Hosea,0,0,0,0,0,0,1,0,4,30,3,0,28,1,0,0,0,0,0,0,0,0,0,0,67
dailystats/stats2017-11-08.csv:Hosea,0,0,0,0,0,0,0,2,0,0,7,0,1,0,1,0,0,6,0,0,1,3,1,0,22
dailystats/stats2017-11-09.csv:Hosea,0,0,0,0,0,0,3,0,6,22,14,10,22,10,13,0,0,1,0,0,0,0,0,0,101
dailystats/stats2017-11-10.csv:Hosea,0,0,0,0,0,0,0,0,5,26,10,13,3,5,33,15,16,3,5,0,1,0,0,0,135
dailystats/stats2017-11-13.csv:Hosea,0,0,0,0,0,0,0,0,2,3,11,5,0,11,7,17,5,20,0,0,0,0,0,0,81
dailystats/stats2017-11-15.csv:Hosea,0,0,0,0,0,0,0,0,1,7,6,43,5,0,1,0,23,18,0,0,0,4,0,0,108
dailystats/stats2017-11-16.csv:Hosea,0,0,0,0,0,0,0,0,2,37,4,32,3,12,0,6,2,16,3,25,20,1,0,1,164
dailystats/stats2017-11-17.csv:Hosea,0,0,0,0,0,0,11,37,7,3,5,2,0,0,15,7,11,5,1,1,0,0,2,5,112
dailystats/stats2017-11-18.csv:Hosea,0,0,0,0,0,0,0,5,0,0,0,9,6,7,9,0,0,0,0,0,0,0,0,0,36
