Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-11-05.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-06.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
dailystats/stats2017-11-07.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-08.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-09.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-10.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-17.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
dailystats/stats2017-11-23.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
dailystats/stats2017-11-26.csv:Lewdgig,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4
dailystats/stats2017-11-28.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9
dailystats/stats2017-11-29.csv:Lewdgig,0,0,0,1,0,0,0,0,0,0,0,0,0,63,10,0,0,0,0,0,0,2,21,64,161
dailystats/stats2017-11-30.csv:Lewdgig,107,165,3,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,5,0,0,0,0,320
dailystats/stats2017-12-01.csv:Lewdgig,0,5,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,43
dailystats/stats2017-12-03.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,17
dailystats/stats2017-12-05.csv:Lewdgig,0,0,0,0,0,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,4,21
dailystats/stats2017-12-06.csv:Lewdgig,0,0,3,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,30,7,7,65
dailystats/stats2017-12-07.csv:Lewdgig,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,0,0,0,0,43
dailystats/stats2017-12-08.csv:Lewdgig,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14
dailystats/stats2017-12-09.csv:Lewdgig,15,21,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,5,4,0,52
dailystats/stats2017-12-10.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,12,27,0,0,0,0,0,0,0,0,0,3,0,42
dailystats/stats2017-12-11.csv:Lewdgig,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
dailystats/stats2017-12-12.csv:Lewdgig,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,9
dailystats/stats2017-12-13.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3
dailystats/stats2017-12-15.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,21,0,34
dailystats/stats2017-12-18.csv:Lewdgig,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
dailystats/stats2017-12-20.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
dailystats/stats2017-12-21.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,14
dailystats/stats2017-12-22.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
dailystats/stats2017-12-23.csv:Lewdgig,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
dailystats/stats2017-12-24.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,8
dailystats/stats2017-12-25.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,3,0,4,0,12
dailystats/stats2017-12-26.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
dailystats/stats2017-12-27.csv:Lewdgig,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,21
dailystats/stats2017-12-28.csv:Lewdgig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3
