Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:MrMallard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-10-30.csv:MrMallard,11,0,0,7,1,2,6,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,56
dailystats/stats2017-10-31.csv:MrMallard,2,5,0,0,3,0,0,0,0,45,32,79,29,58,27,0,4,3,0,0,0,0,0,0,287
dailystats/stats2017-11-01.csv:MrMallard,0,0,2,0,0,0,0,0,1,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,46
dailystats/stats2017-11-02.csv:MrMallard,1,0,0,0,0,0,0,0,0,1,0,13,91,7,0,0,0,13,7,0,10,2,0,0,145
dailystats/stats2017-11-03.csv:MrMallard,0,0,0,0,0,6,0,0,0,0,0,0,0,0,42,0,0,6,19,5,0,32,0,0,110
dailystats/stats2017-11-04.csv:MrMallard,0,0,0,0,2,0,1,0,49,0,7,18,4,0,0,0,0,0,0,0,0,0,0,0,81
dailystats/stats2017-11-05.csv:MrMallard,0,0,0,15,14,11,4,53,47,31,1,0,19,0,0,0,0,0,0,0,0,0,0,0,195
dailystats/stats2017-11-06.csv:MrMallard,0,0,0,0,13,13,0,6,111,42,0,0,33,0,0,0,0,0,0,0,0,0,0,0,218
dailystats/stats2017-11-07.csv:MrMallard,4,10,0,2,3,1,0,0,11,9,21,6,9,6,4,0,0,0,0,0,0,0,0,0,86
dailystats/stats2017-11-08.csv:MrMallard,0,0,0,0,7,0,1,6,0,10,13,65,13,0,2,0,0,0,0,0,0,0,0,0,117
dailystats/stats2017-11-09.csv:MrMallard,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4
dailystats/stats2017-11-10.csv:MrMallard,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,33,0,13,25,6,88
dailystats/stats2017-11-13.csv:MrMallard,0,0,0,0,12,0,0,0,0,0,26,69,0,0,0,0,0,0,0,0,0,0,0,0,107
dailystats/stats2017-11-15.csv:MrMallard,3,9,16,24,0,0,0,0,9,34,28,0,0,0,0,0,0,0,0,0,1,0,0,3,127
