Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
dailystats/stats2017-10-30.csv:Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,13,8,2,1,1,0,0,0,0,45
dailystats/stats2017-10-31.csv:Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,1,7,0,0,0,16
dailystats/stats2017-11-01.csv:Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-02.csv:Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,5,0,0,23
dailystats/stats2017-11-03.csv:Neoconkers,0,0,0,0,0,0,0,0,0,0,0,15,7,5,4,1,2,5,10,10,0,7,1,0,67
dailystats/stats2017-11-04.csv:Neoconkers,0,0,0,0,0,0,0,0,0,2,20,1,1,1,11,3,5,2,0,0,4,0,0,0,50
dailystats/stats2017-11-05.csv:Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,16,0,0,0,25
dailystats/stats2017-11-06.csv:Neoconkers,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,2,0,0,0,18
dailystats/stats2017-11-07.csv:Neoconkers,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
dailystats/stats2017-11-08.csv:Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-09.csv:Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-10.csv:Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-13.csv:Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
dailystats/stats2017-11-15.csv:Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
dailystats/stats2017-11-17.csv:Neoconkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,6
dailystats/stats2017-11-19.csv:Neoconkers,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,5,4,0,0,23
