Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-10-30.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9
dailystats/stats2017-10-31.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10
dailystats/stats2017-11-01.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-02.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
dailystats/stats2017-11-03.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,15
dailystats/stats2017-11-04.csv:Paul,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,4,5,0,0,0,15
dailystats/stats2017-11-05.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-06.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,43
dailystats/stats2017-11-07.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-08.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-09.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,10
dailystats/stats2017-11-10.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-15.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
dailystats/stats2017-11-16.csv:Paul,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
dailystats/stats2017-11-24.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
dailystats/stats2017-11-28.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8
dailystats/stats2017-12-06.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
dailystats/stats2017-12-14.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
dailystats/stats2017-12-17.csv:Paul,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
dailystats/stats2017-12-18.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18
dailystats/stats2017-12-20.csv:Paul,3,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,9,0,0,0,0,18
dailystats/stats2017-12-21.csv:Paul,2,8,0,0,0,0,0,0,0,0,0,0,11,0,5,11,1,3,6,16,2,8,12,3,88
dailystats/stats2017-12-22.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,9,22
dailystats/stats2017-12-23.csv:Paul,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,0,11,43
dailystats/stats2017-12-24.csv:Paul,35,23,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0,0,0,0,0,0,74
dailystats/stats2017-12-27.csv:Paul,0,13,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,21
dailystats/stats2017-12-28.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,8,42
dailystats/stats2017-12-29.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,15
dailystats/stats2017-12-30.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
dailystats/stats2017-12-31.csv:Paul,33,4,0,0,0,0,0,0,0,0,0,0,0,0,2,14,1,15,0,9,11,2,14,51,156
dailystats/stats2018-01-01.csv:Paul,6,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,14,0,16,3,0,2,27,89
dailystats/stats2018-01-02.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,0,0,0,0,4,2,0,0,20
dailystats/stats2018-01-03.csv:Paul,2,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,5,0,0,0,0,0,0,20
dailystats/stats2018-01-04.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,14,1,18,0,2,0,0,0,0,0,0,0,0,35
dailystats/stats2018-01-05.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
dailystats/stats2018-01-06.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
dailystats/stats2018-01-07.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
dailystats/stats2018-01-08.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,17
dailystats/stats2018-01-09.csv:Paul,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
dailystats/stats2018-01-11.csv:Paul,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,2,7
dailystats/stats2018-01-13.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
dailystats/stats2018-01-14.csv:Paul,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
dailystats/stats2018-01-15.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,16
dailystats/stats2018-01-17.csv:Paul,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
dailystats/stats2018-01-19.csv:Paul,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
dailystats/stats2018-01-23.csv:Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,9
