Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:SaltyPirate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-10-30.csv:SaltyPirate,3,0,0,0,0,5,1,4,0,6,0,1,11,0,22,0,9,7,0,0,0,0,0,0,69
dailystats/stats2017-10-31.csv:SaltyPirate,3,0,2,0,0,0,0,0,0,1,0,5,8,0,5,22,2,0,0,0,0,0,0,0,48
dailystats/stats2017-11-01.csv:SaltyPirate,1,0,0,0,0,0,0,0,0,0,0,8,1,4,13,0,5,0,0,0,0,0,0,0,32
dailystats/stats2017-11-02.csv:SaltyPirate,5,0,0,0,0,0,0,0,3,0,0,8,3,0,0,0,20,0,0,0,0,0,0,0,39
dailystats/stats2017-11-03.csv:SaltyPirate,0,1,0,0,0,0,0,0,2,7,0,12,10,0,16,27,8,0,0,0,0,0,0,0,83
dailystats/stats2017-11-04.csv:SaltyPirate,0,2,1,0,0,0,0,0,6,0,0,3,9,13,3,0,20,3,0,6,7,0,0,0,73
dailystats/stats2017-11-05.csv:SaltyPirate,0,1,13,0,0,1,0,0,0,0,8,52,2,23,2,10,0,0,0,0,0,0,0,0,112
dailystats/stats2017-11-06.csv:SaltyPirate,0,0,0,1,0,0,2,15,7,0,5,18,0,0,32,15,4,0,0,0,0,0,0,0,99
dailystats/stats2017-11-07.csv:SaltyPirate,1,17,2,0,0,0,0,0,0,16,0,1,15,8,0,0,0,0,0,0,0,0,0,3,63
dailystats/stats2017-11-08.csv:SaltyPirate,6,5,0,0,0,0,0,0,2,0,0,0,6,9,18,10,0,0,0,0,0,0,0,0,56
dailystats/stats2017-11-09.csv:SaltyPirate,7,1,6,0,0,0,0,0,3,9,0,3,12,4,0,0,2,0,0,0,0,0,0,0,47
dailystats/stats2017-11-10.csv:SaltyPirate,6,6,0,0,0,0,0,0,5,17,0,2,4,5,40,12,0,0,0,0,6,0,0,0,103
dailystats/stats2017-11-13.csv:SaltyPirate,10,2,0,0,0,0,0,0,5,0,0,1,35,6,26,3,0,0,0,0,0,0,0,0,88
dailystats/stats2017-11-15.csv:SaltyPirate,5,19,0,0,3,0,0,0,8,11,12,3,0,1,3,6,5,0,0,0,0,0,0,0,76
dailystats/stats2017-11-16.csv:SaltyPirate,2,10,0,0,0,0,0,0,23,0,0,5,0,15,3,3,0,0,0,0,0,0,0,0,61
dailystats/stats2017-11-17.csv:SaltyPirate,0,1,0,0,0,0,0,0,2,0,0,0,0,3,0,8,0,0,0,0,1,9,0,2,26
dailystats/stats2017-11-18.csv:SaltyPirate,0,1,2,0,0,0,0,0,0,7,0,0,8,20,10,0,0,0,0,0,0,0,0,0,48
dailystats/stats2017-11-19.csv:SaltyPirate,0,0,0,0,0,0,0,0,0,5,0,0,0,0,14,9,0,0,0,0,0,0,0,1,29
dailystats/stats2017-11-20.csv:SaltyPirate,5,0,3,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,9,14,44
dailystats/stats2017-11-22.csv:SaltyPirate,7,3,0,0,0,0,0,0,0,0,0,0,4,1,8,2,0,0,0,0,0,0,0,0,25
dailystats/stats2017-11-23.csv:SaltyPirate,0,0,0,0,6,5,16,11,0,0,0,0,0,5,1,0,7,3,0,0,0,0,0,4,58
dailystats/stats2017-11-24.csv:SaltyPirate,7,0,1,0,0,0,0,0,6,0,0,3,8,4,12,0,0,0,0,0,0,0,0,1,42
dailystats/stats2017-11-25.csv:SaltyPirate,4,1,1,0,0,0,0,0,6,0,0,3,1,1,0,0,0,0,0,0,0,0,0,2,19
dailystats/stats2017-11-26.csv:SaltyPirate,9,0,0,1,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,28
dailystats/stats2017-11-28.csv:SaltyPirate,0,0,0,0,0,0,0,0,21,0,0,3,2,0,5,8,0,0,0,0,0,0,0,0,39
dailystats/stats2017-11-29.csv:SaltyPirate,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3
