Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-11-09.csv:SwordMaster13X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-10.csv:SwordMaster13X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-18.csv:SwordMaster13X,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
dailystats/stats2017-11-24.csv:SwordMaster13X,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,8,0,0,0,0,0,0,0,0,15
dailystats/stats2017-11-27.csv:SwordMaster13X,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6
dailystats/stats2017-12-05.csv:SwordMaster13X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,3,0,0,0,0,0,0,15
dailystats/stats2017-12-06.csv:SwordMaster13X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
dailystats/stats2017-12-12.csv:SwordMaster13X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
dailystats/stats2017-12-23.csv:SwordMaster13X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
dailystats/stats2017-12-24.csv:SwordMaster13X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,7
dailystats/stats2017-12-25.csv:SwordMaster13X,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
dailystats/stats2017-12-26.csv:SwordMaster13X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,6,14
dailystats/stats2018-01-02.csv:SwordMaster13X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
dailystats/stats2018-01-03.csv:SwordMaster13X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
dailystats/stats2018-01-04.csv:SwordMaster13X,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,6,0,0,0,0,11
dailystats/stats2018-01-08.csv:SwordMaster13X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,12
dailystats/stats2018-01-12.csv:SwordMaster13X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
dailystats/stats2018-01-15.csv:SwordMaster13X,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,11,2,33
