Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-11-24.csv:Tavi,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,8
dailystats/stats2017-11-26.csv:Tavi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99
dailystats/stats2017-11-27.csv:Tavi,0,52,51,0,0,0,0,0,0,0,0,17,14,2,0,2,27,0,6,1,9,20,7,7,215
dailystats/stats2017-11-28.csv:Tavi,2,36,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,58
dailystats/stats2017-11-29.csv:Tavi,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,26,3,0,3,0,0,0,0,0,58
dailystats/stats2017-11-30.csv:Tavi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,14,2,1,0,0,0,4,0,0,32
dailystats/stats2017-12-01.csv:Tavi,7,0,0,0,6,0,0,0,0,0,0,0,57,10,9,27,13,17,19,0,0,0,0,6,171
dailystats/stats2017-12-02.csv:Tavi,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,2,0,0,0,0,5,1,30
dailystats/stats2017-12-03.csv:Tavi,0,0,4,13,2,6,0,34,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,67
dailystats/stats2017-12-05.csv:Tavi,0,0,0,0,0,0,0,0,0,0,0,24,8,0,0,5,38,1,0,0,0,0,0,0,76
dailystats/stats2017-12-06.csv:Tavi,0,0,5,0,0,0,0,0,0,0,0,4,8,0,0,0,9,74,0,0,0,0,0,0,100
dailystats/stats2017-12-07.csv:Tavi,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,46,9,0,0,0,0,61
dailystats/stats2017-12-08.csv:Tavi,30,0,0,0,0,0,0,0,0,0,0,0,6,0,41,10,4,0,3,12,3,1,26,25,161
dailystats/stats2017-12-09.csv:Tavi,3,5,4,18,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,1,0,0,0,53
dailystats/stats2017-12-10.csv:Tavi,0,0,49,11,0,0,0,0,0,0,0,0,10,52,17,4,17,10,36,14,1,42,16,0,279
dailystats/stats2017-12-11.csv:Tavi,6,0,0,1,0,0,0,0,0,0,0,0,55,23,26,8,17,4,6,0,0,1,22,46,215
dailystats/stats2017-12-12.csv:Tavi,4,0,42,5,0,0,0,0,0,0,0,17,46,102,78,34,77,15,11,29,7,55,128,22,672
dailystats/stats2017-12-13.csv:Tavi,18,51,82,24,0,0,0,0,0,0,0,3,19,21,7,3,32,14,0,0,0,0,0,0,274
dailystats/stats2017-12-14.csv:Tavi,5,2,0,3,0,0,0,0,0,0,0,3,0,3,52,9,21,8,11,2,36,34,2,20,211
dailystats/stats2017-12-15.csv:Tavi,0,55,94,60,50,0,0,0,0,0,0,16,9,3,2,17,5,6,22,0,2,0,3,1,345
dailystats/stats2017-12-16.csv:Tavi,0,0,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
dailystats/stats2017-12-17.csv:Tavi,0,2,0,0,0,14,0,0,0,0,0,0,0,0,3,0,4,5,14,6,0,0,0,6,54
dailystats/stats2017-12-18.csv:Tavi,0,1,2,0,0,0,0,0,0,0,0,0,0,5,5,0,2,4,0,8,0,13,0,0,40
dailystats/stats2017-12-19.csv:Tavi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
dailystats/stats2017-12-20.csv:Tavi,15,25,12,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60
dailystats/stats2017-12-21.csv:Tavi,6,27,64,17,0,0,0,0,0,0,1,3,49,49,74,57,6,3,0,0,0,6,14,2,378
dailystats/stats2017-12-22.csv:Tavi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,11,0,0,1,0,17
dailystats/stats2017-12-23.csv:Tavi,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8
dailystats/stats2017-12-24.csv:Tavi,4,79,1,1,0,0,0,0,0,0,0,0,6,0,0,0,26,1,6,5,0,0,0,0,129
dailystats/stats2017-12-25.csv:Tavi,5,17,19,56,9,0,16,0,0,0,0,0,20,32,12,0,6,3,0,48,10,5,4,0,262
dailystats/stats2017-12-26.csv:Tavi,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,33,7,7,0,0,65
dailystats/stats2017-12-27.csv:Tavi,17,0,0,0,0,34,0,0,0,0,0,0,0,0,0,5,7,0,16,26,9,0,0,3,117
dailystats/stats2017-12-28.csv:Tavi,0,0,0,8,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,2,35
dailystats/stats2017-12-29.csv:Tavi,0,4,9,3,0,17,24,0,0,0,0,0,0,0,0,0,12,0,5,0,2,1,0,3,80
dailystats/stats2017-12-30.csv:Tavi,0,0,59,6,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,78
dailystats/stats2017-12-31.csv:Tavi,13,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,3,0,2,0,0,24
dailystats/stats2018-01-01.csv:Tavi,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,8
dailystats/stats2018-01-02.csv:Tavi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
dailystats/stats2018-01-03.csv:Tavi,0,3,2,0,0,0,0,0,0,0,0,12,4,0,1,1,24,3,0,0,0,2,0,0,52
dailystats/stats2018-01-04.csv:Tavi,0,1,0,0,0,0,0,0,0,0,0,21,0,13,36,5,0,0,0,0,0,0,0,0,76
dailystats/stats2018-01-05.csv:Tavi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,7,2,0,0,3,0,1,0,41
dailystats/stats2018-01-06.csv:Tavi,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
dailystats/stats2018-01-07.csv:Tavi,0,27,0,0,0,0,0,0,0,0,0,0,0,0,11,0,5,0,0,2,0,0,0,8,53
dailystats/stats2018-01-08.csv:Tavi,1,0,0,0,0,0,0,0,15,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21
dailystats/stats2018-01-09.csv:Tavi,0,10,0,0,0,0,0,0,0,0,0,11,36,14,15,25,0,0,0,2,0,0,0,0,113
