Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2018-01-07.csv:TheDudeYou'reTalkingTo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,30,0,0,0,46
dailystats/stats2018-01-08.csv:TheDudeYou'reTalkingTo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
dailystats/stats2018-01-10.csv:TheDudeYou'reTalkingTo,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,98
dailystats/stats2018-01-13.csv:TheDudeYou'reTalkingTo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,3,0,0,0,83
dailystats/stats2018-01-14.csv:TheDudeYou'reTalkingTo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,37,0,0,3,0,47
dailystats/stats2018-01-16.csv:TheDudeYou'reTalkingTo,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,14
dailystats/stats2018-01-17.csv:TheDudeYou'reTalkingTo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
dailystats/stats2018-01-18.csv:TheDudeYou'reTalkingTo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,12
dailystats/stats2018-01-19.csv:TheDudeYou'reTalkingTo,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9
dailystats/stats2018-01-20.csv:TheDudeYou'reTalkingTo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7
dailystats/stats2018-01-24.csv:TheDudeYou'reTalkingTo,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5
