Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,1,17
dailystats/stats2017-10-30.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,1,0,1,0,5,22
dailystats/stats2017-10-31.csv:TheSwaggersaurus,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,12
dailystats/stats2017-11-01.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,9,4,1,0,0,0,0,0,0,0,11,0,25
dailystats/stats2017-11-02.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,5
dailystats/stats2017-11-03.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-04.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
dailystats/stats2017-11-05.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,5
dailystats/stats2017-11-06.csv:TheSwaggersaurus,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
dailystats/stats2017-11-07.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,2,8,22
dailystats/stats2017-11-08.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,14
dailystats/stats2017-11-09.csv:TheSwaggersaurus,0,1,0,0,0,0,0,0,0,0,3,0,0,5,9,0,0,0,0,0,0,6,13,1,38
dailystats/stats2017-11-10.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,1,0,0,0,0,2,10
dailystats/stats2017-11-13.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
dailystats/stats2017-11-15.csv:TheSwaggersaurus,1,8,0,0,0,0,0,0,0,0,0,1,3,2,2,0,0,0,0,0,1,1,0,0,19
dailystats/stats2017-11-16.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4
dailystats/stats2017-11-17.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,5
dailystats/stats2017-11-19.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3
dailystats/stats2017-11-20.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,24,2,8,0,0,0,1,0,0,0,0,0,0,35
dailystats/stats2017-11-21.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
dailystats/stats2017-11-22.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,4
dailystats/stats2017-11-23.csv:TheSwaggersaurus,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,8,0,0,0,0,0,0,0,21
dailystats/stats2017-11-24.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
dailystats/stats2017-11-25.csv:TheSwaggersaurus,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,21
dailystats/stats2017-11-26.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,6
dailystats/stats2017-11-28.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,4,21,16,49
dailystats/stats2017-11-29.csv:TheSwaggersaurus,6,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0,0,0,0,15
dailystats/stats2017-11-30.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,7
dailystats/stats2017-12-01.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,15,0,3,2,6,0,0,0,0,0,0,0,5,0,31
dailystats/stats2017-12-02.csv:TheSwaggersaurus,0,1,18,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23
dailystats/stats2017-12-05.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,11
dailystats/stats2017-12-06.csv:TheSwaggersaurus,1,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,14
dailystats/stats2017-12-07.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,0,11,42,0,1,0,0,0,5,0,0,1,2,62
dailystats/stats2017-12-08.csv:TheSwaggersaurus,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
dailystats/stats2017-12-09.csv:TheSwaggersaurus,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,17,35
dailystats/stats2017-12-10.csv:TheSwaggersaurus,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43
