Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-11-03.csv:Tsahal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,56,34,0,0,0,0,102
dailystats/stats2017-11-04.csv:Tsahal,0,0,0,0,2,5,20,54,8,0,0,0,0,0,0,43,29,0,1,8,0,0,0,0,170
dailystats/stats2017-11-05.csv:Tsahal,0,0,0,0,6,2,2,4,42,0,70,50,40,14,10,0,6,0,0,0,0,0,0,0,246
dailystats/stats2017-11-06.csv:Tsahal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25,28,0,0,0,0,66
dailystats/stats2017-11-07.csv:Tsahal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11
dailystats/stats2017-11-08.csv:Tsahal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-09.csv:Tsahal,0,0,0,16,0,0,0,0,0,9,67,11,3,0,0,0,0,1,0,0,0,0,0,0,107
dailystats/stats2017-11-10.csv:Tsahal,0,0,0,0,0,0,4,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
dailystats/stats2017-11-16.csv:Tsahal,0,0,0,0,0,0,0,17,35,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,57
dailystats/stats2017-11-17.csv:Tsahal,0,0,0,0,0,7,47,41,27,12,35,52,18,0,0,0,0,0,0,0,0,0,0,0,239
dailystats/stats2017-11-18.csv:Tsahal,0,0,13,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
dailystats/stats2017-11-22.csv:Tsahal,0,0,0,0,0,0,0,0,0,0,0,0,0,3,62,0,0,0,0,0,0,0,0,0,65
dailystats/stats2017-11-23.csv:Tsahal,0,0,0,0,0,26,63,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,103
dailystats/stats2017-11-24.csv:Tsahal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,46,0,0,0,0,0,0,0,0,106
