Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-12-17.csv:Ultimate,0,0,15,6,0,0,0,0,0,0,0,30,0,0,2,0,1,0,34,3,9,9,12,67,188
dailystats/stats2017-12-18.csv:Ultimate,0,0,0,0,0,0,0,0,0,0,0,0,6,52,0,0,0,0,8,62,7,2,4,0,141
dailystats/stats2017-12-19.csv:Ultimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
dailystats/stats2017-12-20.csv:Ultimate,0,0,0,0,0,0,0,0,0,0,6,0,0,3,1,2,4,0,5,0,0,0,0,0,21
dailystats/stats2017-12-21.csv:Ultimate,0,4,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,31,1,0,9,63
dailystats/stats2017-12-22.csv:Ultimate,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,13,6,0,0,0,0,0,29
dailystats/stats2017-12-23.csv:Ultimate,0,0,0,0,0,0,0,0,0,0,14,1,1,0,0,0,5,0,5,4,0,0,9,2,41
dailystats/stats2017-12-24.csv:Ultimate,4,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,11,8,1,0,8,3,0,1,40
dailystats/stats2017-12-25.csv:Ultimate,60,0,0,0,0,0,0,0,0,0,4,2,47,31,21,36,0,0,1,2,0,5,30,5,244
dailystats/stats2017-12-26.csv:Ultimate,2,0,0,0,0,0,0,0,0,2,0,0,12,1,0,0,0,7,10,2,7,5,4,32,84
dailystats/stats2017-12-27.csv:Ultimate,3,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,0,5,1,0,31,17,71
dailystats/stats2017-12-28.csv:Ultimate,0,0,0,0,0,0,0,0,0,0,5,2,0,51,4,0,5,0,0,3,7,10,1,1,89
dailystats/stats2017-12-29.csv:Ultimate,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
