Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:Vulgorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
dailystats/stats2017-10-30.csv:Vulgorn,0,0,0,0,0,0,0,4,2,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,11
dailystats/stats2017-10-31.csv:Vulgorn,3,1,1,1,0,7,3,1,0,14,0,172,5,0,0,0,0,0,0,0,3,0,0,5,216
dailystats/stats2017-11-01.csv:Vulgorn,5,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
dailystats/stats2017-11-02.csv:Vulgorn,0,0,5,0,0,0,0,13,19,4,1,15,11,0,0,0,0,0,0,0,0,0,0,0,68
dailystats/stats2017-11-03.csv:Vulgorn,0,0,0,0,0,0,0,0,1,0,0,4,19,0,0,0,0,0,0,0,3,3,0,0,30
dailystats/stats2017-11-04.csv:Vulgorn,0,0,0,0,0,0,0,89,93,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,185
dailystats/stats2017-11-05.csv:Vulgorn,0,0,0,0,0,0,0,67,137,95,0,0,0,0,0,0,0,0,0,0,1,8,0,0,308
dailystats/stats2017-11-06.csv:Vulgorn,0,0,1,0,0,0,0,6,138,54,0,0,0,0,0,0,0,0,0,3,0,0,1,1,204
dailystats/stats2017-11-07.csv:Vulgorn,0,0,0,0,0,1,1,0,9,9,3,1,0,0,0,0,0,0,0,0,8,6,3,11,52
dailystats/stats2017-11-08.csv:Vulgorn,1,0,0,0,11,1,1,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21
dailystats/stats2017-11-09.csv:Vulgorn,0,0,0,0,0,0,0,31,36,16,13,4,18,0,0,0,0,0,0,0,0,0,0,0,118
dailystats/stats2017-11-10.csv:Vulgorn,0,0,0,0,0,0,0,5,10,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20
dailystats/stats2017-11-13.csv:Vulgorn,0,0,0,0,0,0,0,11,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,58
dailystats/stats2017-11-15.csv:Vulgorn,3,4,0,0,5,0,0,0,2,1,2,28,0,0,0,0,0,0,0,0,0,3,0,0,48
dailystats/stats2017-11-16.csv:Vulgorn,0,0,8,0,0,1,0,14,54,60,16,55,10,0,0,0,0,0,0,0,1,7,0,0,226
dailystats/stats2017-11-17.csv:Vulgorn,4,0,28,0,0,0,0,50,64,8,86,0,0,0,0,0,0,0,0,0,0,2,0,1,243
dailystats/stats2017-11-18.csv:Vulgorn,1,0,0,9,0,0,0,1,0,6,9,5,0,0,0,0,0,0,0,0,0,0,0,0,31
dailystats/stats2017-11-19.csv:Vulgorn,0,0,0,0,1,0,0,21,1,38,19,10,1,0,0,0,0,0,0,0,0,5,0,0,96
dailystats/stats2017-11-20.csv:Vulgorn,0,0,8,0,0,11,0,15,5,18,8,0,0,0,0,0,0,0,0,0,0,7,0,0,72
dailystats/stats2017-11-21.csv:Vulgorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
dailystats/stats2017-11-22.csv:Vulgorn,7,0,0,0,0,0,2,2,11,40,104,45,0,0,0,0,0,0,0,0,0,0,0,0,211
dailystats/stats2017-11-23.csv:Vulgorn,0,0,3,1,0,0,0,67,108,22,36,92,0,0,0,0,0,0,0,0,0,1,0,0,330
dailystats/stats2017-11-24.csv:Vulgorn,14,0,6,0,0,0,0,0,3,15,47,30,9,0,0,0,0,0,0,0,0,0,0,0,124
dailystats/stats2017-11-25.csv:Vulgorn,0,0,11,0,0,0,0,2,0,2,12,3,0,0,0,0,0,0,0,0,0,0,0,0,30
dailystats/stats2017-11-26.csv:Vulgorn,0,0,0,0,0,0,0,7,0,4,3,30,6,0,0,0,0,0,0,0,0,0,0,0,50
dailystats/stats2017-11-27.csv:Vulgorn,0,0,5,0,0,0,0,2,1,0,44,13,20,0,0,0,0,0,0,0,8,9,8,0,110
dailystats/stats2017-11-28.csv:Vulgorn,0,7,0,0,0,6,1,5,18,6,4,0,15,0,0,0,0,0,0,0,0,0,0,0,62
dailystats/stats2017-11-29.csv:Vulgorn,0,1,0,0,5,0,0,16,0,23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,47
