Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-11-03.csv:adamwarlock2099,0,0,0,0,0,0,0,0,0,0,0,0,31,9,0,0,0,0,24,11,14,13,0,0,102
dailystats/stats2017-11-04.csv:adamwarlock2099,0,0,0,0,0,0,0,0,0,0,0,0,0,32,15,1,25,0,0,0,0,0,0,0,73
dailystats/stats2017-11-05.csv:adamwarlock2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
dailystats/stats2017-11-06.csv:adamwarlock2099,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3
dailystats/stats2017-11-07.csv:adamwarlock2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-08.csv:adamwarlock2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-09.csv:adamwarlock2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-10.csv:adamwarlock2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-17.csv:adamwarlock2099,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,9,0,0,42
dailystats/stats2017-11-20.csv:adamwarlock2099,0,0,0,0,0,0,0,0,0,5,0,9,0,0,7,0,0,0,0,0,0,0,0,0,21
dailystats/stats2017-11-28.csv:adamwarlock2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29
