Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:bokchoiii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,23,5,0,0,66
dailystats/stats2017-10-30.csv:bokchoiii,0,0,8,1,0,17,6,1,0,0,18,84,9,22,0,0,0,0,2,17,5,18,0,0,208
dailystats/stats2017-10-31.csv:bokchoiii,0,1,8,0,0,0,0,0,0,0,115,241,79,30,4,17,0,0,66,135,6,23,0,0,725
dailystats/stats2017-11-01.csv:bokchoiii,0,9,0,7,3,0,0,0,0,0,4,33,105,256,7,3,22,20,15,0,0,0,0,0,484
dailystats/stats2017-11-02.csv:bokchoiii,207,59,0,24,12,0,0,0,4,0,35,20,1,0,0,0,0,0,0,0,0,3,0,0,365
dailystats/stats2017-11-03.csv:bokchoiii,18,0,16,2,1,4,0,0,0,0,10,8,4,0,3,0,0,0,0,0,0,0,0,0,66
dailystats/stats2017-11-04.csv:bokchoiii,0,0,0,0,12,24,89,327,263,0,2,0,4,0,0,0,225,82,2,3,0,0,0,0,1033
dailystats/stats2017-11-05.csv:bokchoiii,8,46,104,0,0,0,0,188,302,260,47,79,37,25,0,0,0,4,0,0,0,0,0,0,1100
dailystats/stats2017-11-06.csv:bokchoiii,0,1,0,1,9,2,0,0,25,0,11,182,16,14,15,18,0,0,17,29,0,0,0,0,340
dailystats/stats2017-11-07.csv:bokchoiii,0,17,39,80,0,0,0,1,4,0,0,0,147,59,3,51,0,0,0,0,0,0,0,0,401
dailystats/stats2017-11-08.csv:bokchoiii,0,13,12,56,12,0,0,0,3,0,0,201,121,39,129,69,11,23,1,0,0,0,0,0,690
dailystats/stats2017-11-09.csv:bokchoiii,0,3,0,19,4,0,0,8,0,24,145,64,43,13,0,0,0,29,68,8,0,16,0,0,444
dailystats/stats2017-11-10.csv:bokchoiii,0,0,12,0,0,2,0,0,10,12,46,0,6,0,2,0,60,6,0,0,0,0,0,0,156
dailystats/stats2017-11-13.csv:bokchoiii,8,20,23,173,14,0,2,0,0,0,53,187,6,0,0,0,0,21,25,0,0,0,0,0,532
dailystats/stats2017-11-15.csv:bokchoiii,18,64,32,10,0,0,0,0,0,0,8,98,15,0,0,0,0,0,59,11,18,38,5,2,378
dailystats/stats2017-11-16.csv:bokchoiii,84,15,43,32,64,0,1,2,85,62,33,46,1,0,0,0,0,36,120,57,18,59,10,284,1052
dailystats/stats2017-11-17.csv:bokchoiii,226,48,55,185,237,25,154,92,163,6,95,168,181,32,52,122,116,30,0,0,0,0,0,0,1987
dailystats/stats2017-11-18.csv:bokchoiii,0,26,108,101,5,0,49,11,57,8,8,53,61,178,14,0,0,0,0,0,0,0,0,0,679
