Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2018-01-20.csv:breezbot,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8
dailystats/stats2018-01-21.csv:breezbot,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,8,0,1,0,0,15
dailystats/stats2018-01-22.csv:breezbot,0,0,0,0,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,4,1,0,1,0,12
dailystats/stats2018-01-23.csv:breezbot,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3
dailystats/stats2018-01-24.csv:breezbot,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,7,0,0,0,0,0,0,0,2,12
dailystats/stats2018-01-25.csv:breezbot,2,5,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,12,0,2,0,26
dailystats/stats2018-01-26.csv:breezbot,5,6,0,0,0,0,0,0,0,0,4,1,0,3,8,0,1,3,0,0,0,0,5,3,39
dailystats/stats2018-01-27.csv:breezbot,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,6
dailystats/stats2018-01-28.csv:breezbot,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,2,4,0,16
dailystats/stats2018-01-29.csv:breezbot,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,1,0,0,0,0,10
dailystats/stats2018-01-30.csv:breezbot,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4
dailystats/stats2018-01-31.csv:breezbot,0,0,1,0,0,0,0,3,0,0,2,1,0,3,0,0,0,1,0,0,0,0,0,0,11
dailystats/stats2018-02-01.csv:breezbot,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,37
dailystats/stats2018-02-02.csv:breezbot,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,12,0,0,3,0,0,0,23
dailystats/stats2018-02-03.csv:breezbot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,5
