Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-11-13.csv:cdorner,0,0,0,0,0,0,0,0,6,0,29,6,10,8,7,11,33,5,0,0,0,0,0,0,115
dailystats/stats2017-11-15.csv:cdorner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,10,1,0,0,0,1,0,0,47
dailystats/stats2017-11-16.csv:cdorner,0,0,0,0,0,0,0,0,29,20,6,0,1,0,0,0,0,1,1,1,1,4,0,0,64
dailystats/stats2017-11-17.csv:cdorner,0,0,0,0,0,3,0,0,0,0,0,0,14,8,7,0,3,0,1,2,0,0,4,0,42
dailystats/stats2017-11-18.csv:cdorner,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12
dailystats/stats2017-11-19.csv:cdorner,0,0,0,0,0,0,0,0,2,0,0,0,0,1,26,4,1,3,5,2,11,0,9,2,66
dailystats/stats2017-11-20.csv:cdorner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,1,2,1,3,0,5,0,0,25
dailystats/stats2017-11-22.csv:cdorner,0,0,0,0,0,0,0,0,2,0,0,0,14,16,7,0,0,34,19,6,9,8,0,5,120
dailystats/stats2017-11-23.csv:cdorner,2,0,0,0,0,0,0,0,0,0,2,2,0,2,30,3,6,1,2,1,6,8,0,0,65
dailystats/stats2017-11-24.csv:cdorner,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,2,3,1,13,6,1,12,0,59
dailystats/stats2017-11-25.csv:cdorner,0,0,0,0,0,0,0,0,1,0,0,0,1,26,6,3,4,2,0,1,3,0,1,8,56
dailystats/stats2017-11-26.csv:cdorner,0,0,0,0,0,0,0,0,0,0,5,0,6,7,1,0,0,0,0,2,0,0,0,0,21
dailystats/stats2017-11-28.csv:cdorner,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,9
dailystats/stats2017-11-29.csv:cdorner,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,2,5,0,0,0,0,0,0,0,14
dailystats/stats2017-11-30.csv:cdorner,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,9
dailystats/stats2017-12-01.csv:cdorner,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,0,0,0,7,1,5,0,0,0,35
dailystats/stats2017-12-02.csv:cdorner,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3,0,6,0,0,0,2,0,3,19
dailystats/stats2017-12-03.csv:cdorner,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,1,0,0,0,0,11
dailystats/stats2017-12-05.csv:cdorner,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,17,6,0,0,0,0,25
dailystats/stats2017-12-06.csv:cdorner,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,2,2,1,0,1,0,0,0,11
dailystats/stats2017-12-07.csv:cdorner,0,0,0,0,0,0,0,0,0,2,3,10,0,0,0,0,1,0,2,4,2,0,0,0,24
dailystats/stats2017-12-08.csv:cdorner,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,8,2,0,0,0,5,1,4,1,26
dailystats/stats2017-12-09.csv:cdorner,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,5,1,0,0,0,12
dailystats/stats2017-12-10.csv:cdorner,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,5,0,1,0,2,0,0,5,0,17
dailystats/stats2017-12-11.csv:cdorner,0,0,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,2,8,0,0,0,0,0,17
dailystats/stats2017-12-12.csv:cdorner,0,0,0,0,1,4,3,2,13,3,4,1,4,0,0,0,2,1,0,4,1,0,13,1,57
