Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-11-06.csv:chained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-07.csv:chained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-08.csv:chained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,0,0,35
dailystats/stats2017-11-09.csv:chained,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,30
dailystats/stats2017-11-10.csv:chained,4,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,23,13,9,17,0,0,75
dailystats/stats2017-11-13.csv:chained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
dailystats/stats2017-11-15.csv:chained,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10
dailystats/stats2017-11-16.csv:chained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,8,0,0,10,0,0,23
dailystats/stats2017-11-17.csv:chained,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,14
dailystats/stats2017-11-18.csv:chained,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
dailystats/stats2017-11-20.csv:chained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
dailystats/stats2017-11-24.csv:chained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
dailystats/stats2017-11-25.csv:chained,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,27
dailystats/stats2017-11-30.csv:chained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
dailystats/stats2017-12-11.csv:chained,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,13
dailystats/stats2017-12-21.csv:chained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,10
dailystats/stats2018-01-11.csv:chained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
dailystats/stats2018-01-13.csv:chained,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
dailystats/stats2018-01-26.csv:chained,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
