Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-11-03.csv:daffadilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-04.csv:daffadilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-05.csv:daffadilio,0,49,70,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,2,0,0,219
dailystats/stats2017-11-06.csv:daffadilio,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
dailystats/stats2017-11-07.csv:daffadilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-08.csv:daffadilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-09.csv:daffadilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-10.csv:daffadilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-19.csv:daffadilio,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
dailystats/stats2017-11-20.csv:daffadilio,33,50,53,18,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
dailystats/stats2017-11-22.csv:daffadilio,0,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,24
dailystats/stats2017-11-23.csv:daffadilio,0,0,0,0,0,0,0,62,79,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144
dailystats/stats2017-11-25.csv:daffadilio,0,0,0,0,0,0,66,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
dailystats/stats2017-11-29.csv:daffadilio,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
dailystats/stats2017-12-01.csv:daffadilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,11
dailystats/stats2017-12-06.csv:daffadilio,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
dailystats/stats2017-12-09.csv:daffadilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,10,32
dailystats/stats2017-12-10.csv:daffadilio,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
dailystats/stats2017-12-18.csv:daffadilio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,49,2,116
dailystats/stats2017-12-20.csv:daffadilio,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,18
dailystats/stats2017-12-21.csv:daffadilio,0,0,77,108,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209
dailystats/stats2017-12-22.csv:daffadilio,4,1,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
dailystats/stats2017-12-23.csv:daffadilio,0,16,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
dailystats/stats2017-12-24.csv:daffadilio,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
dailystats/stats2017-12-26.csv:daffadilio,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
dailystats/stats2017-12-27.csv:daffadilio,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
