Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-11-03.csv:jaimielovely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-04.csv:jaimielovely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-05.csv:jaimielovely,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
dailystats/stats2017-11-06.csv:jaimielovely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-07.csv:jaimielovely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-08.csv:jaimielovely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-09.csv:jaimielovely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-10.csv:jaimielovely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-22.csv:jaimielovely,26,6,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
dailystats/stats2017-11-28.csv:jaimielovely,0,0,0,0,0,0,0,0,107,3,0,0,0,0,0,0,3,0,0,0,118,27,0,0,258
dailystats/stats2017-11-29.csv:jaimielovely,49,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,19,0,76
dailystats/stats2017-11-30.csv:jaimielovely,106,133,70,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319
dailystats/stats2017-12-01.csv:jaimielovely,0,0,0,0,65,112,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,248
dailystats/stats2017-12-02.csv:jaimielovely,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
dailystats/stats2017-12-05.csv:jaimielovely,0,42,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
dailystats/stats2017-12-06.csv:jaimielovely,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dailystats/stats2017-12-07.csv:jaimielovely,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
