Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:renavlt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,10
dailystats/stats2017-10-30.csv:renavlt,31,4,0,0,0,0,0,0,0,0,0,0,24,12,10,26,61,35,21,1,1,4,1,29,260
dailystats/stats2017-10-31.csv:renavlt,5,0,0,0,0,0,0,0,0,0,51,93,21,95,7,0,0,5,39,34,6,11,26,36,429
dailystats/stats2017-11-01.csv:renavlt,0,0,0,0,0,0,0,0,0,8,4,28,50,34,11,29,35,17,29,17,59,28,34,8,391
dailystats/stats2017-11-02.csv:renavlt,0,0,0,0,0,0,0,0,0,0,20,41,79,7,0,0,0,23,1,0,13,5,0,0,189
dailystats/stats2017-11-03.csv:renavlt,0,0,0,0,0,0,0,0,0,0,26,54,43,106,63,72,23,29,6,0,3,0,0,0,425
dailystats/stats2017-11-04.csv:renavlt,0,0,0,0,0,0,0,0,0,0,0,0,0,13,26,44,56,16,47,5,29,6,0,15,257
dailystats/stats2017-11-05.csv:renavlt,0,0,0,0,0,0,0,0,0,3,60,48,23,36,3,6,7,0,0,0,4,0,0,2,192
dailystats/stats2017-11-06.csv:renavlt,0,0,0,0,0,0,0,0,0,0,6,22,2,3,60,70,11,12,0,0,3,0,8,0,197
dailystats/stats2017-11-07.csv:renavlt,25,0,0,0,0,0,0,0,0,0,3,0,0,8,3,0,0,1,13,14,0,17,11,0,95
dailystats/stats2017-11-08.csv:renavlt,0,0,0,0,0,0,0,0,0,11,8,8,12,3,6,14,20,26,4,0,5,3,6,0,126
dailystats/stats2017-11-09.csv:renavlt,0,0,0,0,0,0,0,0,0,6,22,4,15,34,24,0,0,0,10,6,2,3,1,1,128
dailystats/stats2017-11-10.csv:renavlt,23,0,0,0,0,0,0,0,0,0,0,7,1,1,32,6,21,7,10,3,0,1,16,0,128
dailystats/stats2017-11-13.csv:renavlt,3,0,0,0,0,0,0,0,0,6,0,13,5,22,5,2,3,4,11,0,0,0,0,2,76
dailystats/stats2017-11-15.csv:renavlt,17,28,1,0,0,0,0,0,0,0,0,8,8,28,1,9,16,20,44,1,0,4,1,8,194
dailystats/stats2017-11-16.csv:renavlt,28,5,0,0,0,0,0,0,0,1,2,14,44,35,9,0,1,26,63,55,39,9,25,0,356
dailystats/stats2017-11-17.csv:renavlt,71,45,0,0,0,0,0,0,0,0,2,47,14,21,25,10,18,14,9,0,3,2,0,2,283
dailystats/stats2017-11-18.csv:renavlt,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
dailystats/stats2017-11-19.csv:renavlt,0,5,0,0,0,0,0,0,0,0,9,0,34,37,10,10,0,2,6,1,32,7,8,6,167
dailystats/stats2017-11-20.csv:renavlt,55,0,0,0,0,0,0,0,0,0,7,0,21,2,11,3,5,2,0,0,2,26,2,0,136
dailystats/stats2017-11-21.csv:renavlt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27
dailystats/stats2017-11-22.csv:renavlt,47,20,0,0,0,0,0,0,0,4,17,6,25,23,35,3,25,11,0,12,8,9,7,2,254
dailystats/stats2017-11-23.csv:renavlt,27,9,0,0,0,0,0,0,0,2,13,47,10,2,1,20,8,4,24,14,1,18,8,26,234
dailystats/stats2017-11-24.csv:renavlt,29,3,0,0,0,0,0,0,0,0,18,0,3,41,39,26,3,0,0,4,0,0,21,2,189
dailystats/stats2017-11-25.csv:renavlt,28,6,0,0,0,0,0,0,0,0,0,1,0,22,0,0,3,5,3,7,11,2,0,0,88
dailystats/stats2017-11-26.csv:renavlt,9,1,0,0,0,0,0,0,0,0,0,19,37,4,0,1,20,2,10,41,3,4,32,106,289
dailystats/stats2017-11-27.csv:renavlt,116,47,87,0,0,0,0,0,0,0,11,0,10,1,29,38,7,26,6,6,0,19,7,22,432
dailystats/stats2017-11-28.csv:renavlt,39,0,0,0,0,0,0,0,0,0,0,0,16,4,43,0,0,12,3,3,0,2,7,6,135
dailystats/stats2017-11-29.csv:renavlt,1,0,0,0,0,0,0,0,0,4,5,1,7,16,33,32,2,11,0,16,7,12,21,25,193
dailystats/stats2017-11-30.csv:renavlt,2,0,16,0,0,0,0,0,0,0,0,7,9,22,19,0,0,3,8,2,1,28,15,27,159
dailystats/stats2017-12-01.csv:renavlt,0,0,0,0,0,0,0,0,0,0,6,9,54,31,13,17,28,28,7,21,0,0,0,13,227
dailystats/stats2017-12-02.csv:renavlt,1,0,0,0,0,0,0,0,0,0,8,20,11,3,7,7,0,22,0,1,1,0,3,1,85
dailystats/stats2017-12-03.csv:renavlt,0,1,1,0,0,0,0,0,0,0,8,1,4,5,1,3,0,1,2,1,3,3,8,0,42
