Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:teef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-10-30.csv:teef,0,13,19,0,0,0,0,0,0,0,0,0,0,13,1,0,0,2,0,0,0,1,0,0,49
dailystats/stats2017-10-31.csv:teef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,1,0,0,0,4,0,0,0,23
dailystats/stats2017-11-01.csv:teef,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,0,0,3,0,17
dailystats/stats2017-11-02.csv:teef,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,14
dailystats/stats2017-11-03.csv:teef,0,0,20,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,1,22,0,0,11,0,68
dailystats/stats2017-11-04.csv:teef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,13,0,0,0,21
dailystats/stats2017-11-05.csv:teef,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,1,0,0,0,0,3,0,1,18
dailystats/stats2017-11-06.csv:teef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,5,2,0,0,23
dailystats/stats2017-11-07.csv:teef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3
dailystats/stats2017-11-08.csv:teef,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,15
dailystats/stats2017-11-09.csv:teef,0,7,3,5,0,0,0,0,0,0,3,0,0,8,4,0,0,0,2,0,0,0,3,7,42
dailystats/stats2017-11-10.csv:teef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,1,1,4,4,24
dailystats/stats2017-11-13.csv:teef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2
dailystats/stats2017-11-15.csv:teef,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,7,3,1,6,2,4,37
dailystats/stats2017-11-16.csv:teef,20,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,2,23,0,9,0,0,0,0,67
