Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-11-01.csv:teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,23
dailystats/stats2017-11-02.csv:teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
dailystats/stats2017-11-03.csv:teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-04.csv:teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-05.csv:teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
dailystats/stats2017-11-06.csv:teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-07.csv:teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-08.csv:teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-09.csv:teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-10.csv:teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dailystats/stats2017-11-27.csv:teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
dailystats/stats2017-11-28.csv:teepan,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
dailystats/stats2017-11-29.csv:teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,33
dailystats/stats2017-11-30.csv:teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,9
dailystats/stats2017-12-01.csv:teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,0,0,0,0,50
dailystats/stats2017-12-02.csv:teepan,0,8,2,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0,0,0,0,0,0,0,44
dailystats/stats2017-12-03.csv:teepan,0,0,0,25,8,0,0,22,22,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,81
dailystats/stats2017-12-05.csv:teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,5
dailystats/stats2017-12-06.csv:teepan,0,0,0,0,0,0,0,0,0,0,0,0,50,17,5,13,0,0,0,0,0,0,0,0,85
dailystats/stats2017-12-12.csv:teepan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,15,0,0,0,0,0,0,37
