Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,TOTAL
dailystats/stats2017-10-29.csv:wlof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,2,8,0,41
dailystats/stats2017-10-30.csv:wlof,0,0,0,0,0,2,0,4,2,0,2,0,19,2,0,3,0,0,5,38,0,0,0,0,77
dailystats/stats2017-10-31.csv:wlof,0,0,0,0,0,0,0,4,8,1,8,1,11,5,7,3,7,3,0,0,6,52,52,0,168
dailystats/stats2017-11-01.csv:wlof,0,0,0,0,0,0,0,1,3,1,2,9,3,0,2,8,9,2,6,16,7,0,0,0,69
dailystats/stats2017-11-02.csv:wlof,0,0,0,0,0,0,0,1,2,2,6,5,22,5,2,4,16,1,0,9,12,10,0,0,97
dailystats/stats2017-11-03.csv:wlof,0,0,0,0,0,0,0,4,0,6,8,4,9,11,10,6,0,0,0,3,0,16,7,18,102
dailystats/stats2017-11-04.csv:wlof,0,0,0,0,0,0,0,0,0,13,19,3,0,6,1,11,0,0,7,13,15,24,22,27,161
dailystats/stats2017-11-05.csv:wlof,33,0,0,0,0,0,0,1,3,18,5,34,12,19,65,3,0,0,0,20,16,2,0,0,231
dailystats/stats2017-11-06.csv:wlof,0,0,0,0,0,0,3,0,0,16,8,6,7,0,0,0,0,32,25,4,5,0,0,0,106
dailystats/stats2017-11-07.csv:wlof,0,0,0,0,0,0,0,0,5,9,2,1,8,2,3,0,0,0,21,4,2,2,0,0,59
dailystats/stats2017-11-08.csv:wlof,0,0,0,0,0,0,0,0,0,2,5,0,10,30,2,4,5,2,23,21,11,11,0,0,126
dailystats/stats2017-11-09.csv:wlof,0,0,0,0,0,0,3,1,1,18,4,0,8,40,1,12,13,0,16,25,5,0,1,0,148
dailystats/stats2017-11-10.csv:wlof,0,0,0,0,0,0,0,0,9,14,7,8,11,7,35,16,3,2,10,38,30,46,0,0,236
dailystats/stats2017-11-13.csv:wlof,0,0,0,0,0,0,0,0,0,7,34,29,0,0,8,0,0,0,0,0,0,0,0,0,78
dailystats/stats2017-11-15.csv:wlof,0,0,0,0,0,0,0,0,1,4,2,14,2,14,0,0,0,0,24,4,18,0,0,0,83
dailystats/stats2017-11-16.csv:wlof,0,0,0,0,0,0,2,2,8,1,0,0,32,23,15,0,25,9,19,3,5,9,9,0,162
dailystats/stats2017-11-17.csv:wlof,0,0,0,0,0,0,0,9,1,2,0,0,16,0,6,37,5,1,16,5,13,14,11,5,141
dailystats/stats2017-11-18.csv:wlof,2,18,0,0,0,0,0,4,0,0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,49
dailystats/stats2017-11-19.csv:wlof,0,0,0,0,0,0,0,0,0,0,0,1,5,4,14,16,6,11,2,12,11,11,0,0,93
dailystats/stats2017-11-20.csv:wlof,0,0,0,0,0,0,0,1,0,0,8,0,2,6,27,8,0,8,2,7,0,2,6,0,77
dailystats/stats2017-11-22.csv:wlof,0,0,0,0,0,0,0,0,0,88,6,29,11,11,57,14,28,23,39,6,37,72,44,3,468
dailystats/stats2017-11-23.csv:wlof,7,0,0,0,0,0,0,0,0,4,19,114,22,10,40,11,45,46,79,13,2,19,6,0,437
dailystats/stats2017-11-24.csv:wlof,0,0,0,0,0,0,0,0,9,5,3,5,51,24,19,1,14,8,9,46,2,0,15,2,213
dailystats/stats2017-11-25.csv:wlof,0,0,0,0,0,0,0,0,0,0,3,1,35,24,3,39,12,4,0,12,16,3,8,2,162
dailystats/stats2017-11-26.csv:wlof,0,0,0,0,0,0,0,0,8,7,33,43,5,6,13,13,1,16,15,33,3,22,13,0,231
